HDSB Elementary School Schedule
Start Date,End Date,Event Description
2022/9/5,,Labour Day
2022/9/6,,First day of instruction
2022/10/7,,PA Day
2022/10/10,,Thanksgiving Day
2022/11/25,,PA Day
2022/12/23,2023/1/6,Winter Break
2023/1/9,,School resumes
2023/1/27,,PA Day
2023/2/17,,PA Day
2023/2/20,,Family Day
2023/3/13,2023/3/17,Spring Break
2023/4/7,,Good Friday
2023/4/10,,Easter Monday
2023/4/24,,PA Day
2023/5/22,,Victoria Day
2023/6/5,,PA Day
2023/6/30,,Last day of instruction
2023/6/30,,PA Day
2022/9/5,,Labour Day
