HDSB School Schedule
Start Date,End Date,Event Description,Application
2022/9/5,,Labour Day,Both
2022/9/6,,First day of instruction,Both
2022/10/7,,PA Day,Both
2022/10/10,,Thanksgiving Day,Both
2022/11/25,,PA Day,Both
2022/12/23,2023/1/6,Winter Break,Both
2023/1/9,,School resumes,Both
2023/1/26,2023/2/1,Exams,Secondary
2023/1/27,,PA Day,Elementary
2023/2/3,,PA Day,Secondary
2023/2/6,,First day of instruction (Semester 2),Secondary
2023/2/17,,PA Day,Both
2023/2/20,,Family Day,Both
2023/3/13,2023/3/17,Spring Break,Both
2023/4/7,,Good Friday,Both
2023/4/10,,Easter Monday,Both
2023/4/24,,PA Day,Both
2023/5/22,,Victoria Day,Both
2023/6/5,,PA Day,Elementary
2023/6/22,2023/6/28,Exams,Secondary
2023/6/29,,Last day of instruction,Secondary
2023/6/30,,Last day of instruction,Elementary
2023/6/30,,PA Day,Secondary
2022/9/5,,Labour Day,Both
